component,location,label,period,val,unit
electricity,importer,Elec. Price (Importer),2025,60,EUR/MWh
electricity,exporter,Elec. Price (Exporter),2025,30,EUR/MWh
electricity,importer,Elec. Price (Importer),2050,50,EUR/MWh
electricity,exporter,Elec. Price (Exporter),2050,15,EUR/MWh
hydrogen,importer,H₂ price (Importer),2025,100,EUR/MWh
hydrogen,exporter,H₂ price (Exporter),2025,60,EUR/MWh
hydrogen,importer,H₂ price (Importer),2050,60,EUR/MWh
hydrogen,exporter,H₂ price (Exporter),2050,40,EUR/MWh
natural gas,either,Natural-gas price,2025,50,EUR/MWh
natural gas,either,Natural-gas price,2050,45,EUR/MWh
co2,either,CO₂ feedstock price,2025,100,EUR/t
co2,either,CO₂ feedstock price,2050,200,EUR/t
