process,type,component,subcomponent,mode,unit,val,val_year
ELEC,capex,,,,EUR/(MWh/a),67.0,2030
ELEC,capex,,,,EUR/(MWh/a),25.0,2050
ELEC,fixed_opex,onm,,,1,0.03,
ELEC,energy_demand,electricity,,,1,1.47,2030
ELEC,energy_demand,electricity,,,1,1.35,2050
DAC,capex,,,,EUR/t,338,2030
DAC,capex,,,,EUR/t,199,2050
DAC,fixed_opex,onm,,,1,0.04,
DAC,energy_demand,electricity,,,MWh/t,0.42,2030
DAC,energy_demand,electricity,,,MWh/t,0.3,2050
DAC,energy_demand,heat,,,MWh/t,0.3,
HP,capex,,,,EUR/t,338,2030
HP,capex,,,,EUR/t,199,2050
HP,fixed_opex,onm,,,1,0.02,
HP,energy_demand,electricity,,,1,0.31,2030
HP,energy_demand,electricity,,,1,0.28,2050
CCU,capex,,,,EUR/t,200,2030
CCU,capex,,,,EUR/t,100,2050
CCU,energy_demand,electricity,,,MWh/t,1.667,
DR,capex,,,,EUR/t,350,
DR,energy_demand,electricity,,,MWh/t,0.1,
DR,energy_demand,hydrogen,,H2,MWh/t,1.8,
DR,energy_demand,natural gas,,H2,MWh/t,0.480,
DR,energy_demand,natural gas,,NG,MWh/t,2.694,
DR,feedstock_demand,ore,,,1,1.51,
DR,feedstock_prices,ore,,,EUR/t,130,
DR,fixed_opex,onm,,,1,0.03,
EAF,capex,,,,EUR/t,260.0,
EAF,energy_demand,electricity,For CDRI w/o heating,primary,MWh/t,0.580,
EAF,energy_demand,electricity,For using scrap,secondary,MWh/t,0.474,
EAF,energy_demand,electricity,Heating of CDRI,,MWh/t,0.159,
EAF,feedstock_demand,alloys,,,1,0.011,
EAF,feedstock_demand,dri,,primary,1,1.065,
EAF,feedstock_demand,dri,,secondary,1,0.0,
EAF,feedstock_demand,graphite,,,1,0.0025,
EAF,feedstock_demand,lime,,,1,0.05,
EAF,feedstock_demand,scrap,,primary,1,0.17,
EAF,feedstock_demand,scrap,,secondary,1,1.09,
EAF,feedstock_prices,alloys,,,EUR/t,1720.0,
EAF,feedstock_prices,graphite,,,EUR/t,4000,
EAF,feedstock_prices,lime,,,EUR/t,100,
EAF,feedstock_prices,scrap,,,EUR/t,180,
EAF,fixed_opex,onm,,,1,0.03,
HB,capex,,,,EUR/t,379.2,
HB,energy_demand,hydrogen,,,MWh/t,5.883,
HB,energy_demand,electricity,air-separation unit,,MWh/t,0.723,
HB,energy_demand,electricity,Haber-Bosch process,,MWh/t,2.06,
HB,fixed_opex,,,,EUR/t,100.0,
UREA,capex,,,,EUR/t,213.5,
UREA,energy_demand,electricity,heat,,MWh/t,0.914,
UREA,energy_demand,electricity,elec,,MWh/t,0.133,
UREA,feedstock_demand,ammonia,,,t/t,0.575,
UREA,feedstock_demand,co2,,,t/t,0.744,
UREA,fixed_opex,onm,,,EUR/t,0.03,
MEOH,capex,,,,EUR/t,496.5,
MEOH,energy_demand,electricity,,,MWh/t,1.5,
MEOH,feedstock_demand,co2,,,1,1.373,
MEOH,feedstock_demand,hydrogen,,,MWh/t,6.466,
MEOH,fixed_opex,,,,EUR/t,25,
MTO,capex,,,,EUR/t,395.1,
MTO,energy_demand,electricity,,,MWh/t,1.389,
MTO,feedstock_demand,methanol,,,1,2.28,
MTO,fixed_opex,,,,EUR/t,45,
,transport,hydrogen,,pipeline,EUR/MWh,30,2030
,transport,hydrogen,,pipeline,EUR/MWh,20,2050
,transport,hydrogen,,shipping,EUR/MWh,110,2030
,transport,hydrogen,,shipping,EUR/MWh,90,2050
,transport,ore,,,EUR/t,14,
,transport,dri,,,EUR/t,20,
,transport,steel,,,EUR/t,30,
,transport,ammonia,,,EUR/t,35,
,transport,urea,,,EUR/t,35,
,transport,methanol,,,EUR/t,35,
,transport,ethylene,,,EUR/t,35,
